[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] Running: cifar10_lira_none_split2_s42
[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:16:17][cifar10_lira_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:16:17][cifar10_lira_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:19:21][cifar10_lira_none_split2_s42][INFO] [Epoch 092][TRAIN] loss=0.0776 | train_acc=0.9732 | val_acc=0.8513 | asr=0.0422 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:23][cifar10_lira_none_split2_s42][INFO] [Epoch 093][TRAIN] loss=0.0867 | train_acc=0.9712 | val_acc=0.8610 | asr=0.0560 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:25][cifar10_lira_none_split2_s42][INFO] [Epoch 094][TRAIN] loss=0.0816 | train_acc=0.9724 | val_acc=0.8577 | asr=0.0554 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:27][cifar10_lira_none_split2_s42][INFO] [Epoch 095][TRAIN] loss=0.0867 | train_acc=0.9702 | val_acc=0.8539 | asr=0.0527 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:29][cifar10_lira_none_split2_s42][INFO] [Epoch 096][TRAIN] loss=0.0918 | train_acc=0.9687 | val_acc=0.8584 | asr=0.0530 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:31][cifar10_lira_none_split2_s42][INFO] [Epoch 097][TRAIN] loss=0.0945 | train_acc=0.9677 | val_acc=0.8579 | asr=0.0522 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:33][cifar10_lira_none_split2_s42][INFO] [Epoch 098][TRAIN] loss=0.0954 | train_acc=0.9679 | val_acc=0.8569 | asr=0.0497 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:35][cifar10_lira_none_split2_s42][INFO] [Epoch 099][TRAIN] loss=0.0804 | train_acc=0.9733 | val_acc=0.8599 | asr=0.0589 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:37][cifar10_lira_none_split2_s42][INFO] [Epoch 100][TRAIN] loss=0.1101 | train_acc=0.9624 | val_acc=0.8554 | asr=0.0493 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:38][cifar10_lira_none_split2_s42][INFO] Final summary saved to results/cifar10_lira_none_split2_s42/summary.json
