[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Running: cifar10_blended_none_split2_s42
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:47:47][cifar10_blended_none_split2_s42][INFO] [Epoch 045][TRAIN] loss=0.5949 | train_acc=0.8064 | val_acc=0.8175 | asr=0.0140 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:49][cifar10_blended_none_split2_s42][INFO] [Epoch 046][TRAIN] loss=0.5989 | train_acc=0.8027 | val_acc=0.8184 | asr=0.0176 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:51][cifar10_blended_none_split2_s42][INFO] [Epoch 047][TRAIN] loss=0.6333 | train_acc=0.7891 | val_acc=0.8074 | asr=0.0698 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:53][cifar10_blended_none_split2_s42][INFO] [Epoch 048][TRAIN] loss=0.5829 | train_acc=0.8153 | val_acc=0.8231 | asr=0.0213 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:55][cifar10_blended_none_split2_s42][INFO] [Epoch 049][TRAIN] loss=0.5813 | train_acc=0.8095 | val_acc=0.8227 | asr=0.0357 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:57][cifar10_blended_none_split2_s42][INFO] [Epoch 050][TRAIN] loss=0.6387 | train_acc=0.7823 | val_acc=0.8250 | asr=0.0148 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:59][cifar10_blended_none_split2_s42][INFO] [Epoch 051][TRAIN] loss=0.5370 | train_acc=0.8270 | val_acc=0.8269 | asr=0.0296 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:01][cifar10_blended_none_split2_s42][INFO] [Epoch 052][TRAIN] loss=0.5645 | train_acc=0.8153 | val_acc=0.8353 | asr=0.0217 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:03][cifar10_blended_none_split2_s42][INFO] [Epoch 053][TRAIN] loss=0.5987 | train_acc=0.7993 | val_acc=0.8286 | asr=0.0221 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:05][cifar10_blended_none_split2_s42][INFO] [Epoch 054][TRAIN] loss=0.5782 | train_acc=0.8089 | val_acc=0.8312 | asr=0.0288 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:07][cifar10_blended_none_split2_s42][INFO] [Epoch 055][TRAIN] loss=0.5970 | train_acc=0.8002 | val_acc=0.8357 | asr=0.0188 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:09][cifar10_blended_none_split2_s42][INFO] [Epoch 056][TRAIN] loss=0.5439 | train_acc=0.8217 | val_acc=0.8263 | asr=0.0220 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:11][cifar10_blended_none_split2_s42][INFO] [Epoch 057][TRAIN] loss=0.5420 | train_acc=0.8225 | val_acc=0.8135 | asr=0.0547 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:13][cifar10_blended_none_split2_s42][INFO] [Epoch 058][TRAIN] loss=0.5753 | train_acc=0.7930 | val_acc=0.8057 | asr=0.0869 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:15][cifar10_blended_none_split2_s42][INFO] [Epoch 059][TRAIN] loss=0.5568 | train_acc=0.8154 | val_acc=0.8318 | asr=0.0228 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:17][cifar10_blended_none_split2_s42][INFO] [Epoch 060][TRAIN] loss=0.5300 | train_acc=0.8270 | val_acc=0.8350 | asr=0.0259 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:19][cifar10_blended_none_split2_s42][INFO] [Epoch 061][TRAIN] loss=0.5403 | train_acc=0.8260 | val_acc=0.8146 | asr=0.0574 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:21][cifar10_blended_none_split2_s42][INFO] [Epoch 062][TRAIN] loss=0.5190 | train_acc=0.8315 | val_acc=0.8343 | asr=0.0174 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:23][cifar10_blended_none_split2_s42][INFO] [Epoch 063][TRAIN] loss=0.5103 | train_acc=0.8338 | val_acc=0.8391 | asr=0.0232 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:25][cifar10_blended_none_split2_s42][INFO] [Epoch 064][TRAIN] loss=0.5092 | train_acc=0.8348 | val_acc=0.8330 | asr=0.0149 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:27][cifar10_blended_none_split2_s42][INFO] [Epoch 065][TRAIN] loss=0.5421 | train_acc=0.8167 | val_acc=0.8413 | asr=0.0197 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:29][cifar10_blended_none_split2_s42][INFO] [Epoch 066][TRAIN] loss=0.4081 | train_acc=0.8742 | val_acc=0.8323 | asr=0.0313 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:31][cifar10_blended_none_split2_s42][INFO] [Epoch 067][TRAIN] loss=0.4531 | train_acc=0.8546 | val_acc=0.8417 | asr=0.0182 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:33][cifar10_blended_none_split2_s42][INFO] [Epoch 068][TRAIN] loss=0.4356 | train_acc=0.8643 | val_acc=0.8399 | asr=0.0222 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:35][cifar10_blended_none_split2_s42][INFO] [Epoch 069][TRAIN] loss=0.4930 | train_acc=0.8387 | val_acc=0.8345 | asr=0.0427 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:37][cifar10_blended_none_split2_s42][INFO] [Epoch 070][TRAIN] loss=0.4907 | train_acc=0.8367 | val_acc=0.8350 | asr=0.0284 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:39][cifar10_blended_none_split2_s42][INFO] [Epoch 071][TRAIN] loss=0.4526 | train_acc=0.8555 | val_acc=0.8468 | asr=0.0176 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:41][cifar10_blended_none_split2_s42][INFO] [Epoch 072][TRAIN] loss=0.4363 | train_acc=0.8617 | val_acc=0.8455 | asr=0.0237 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:43][cifar10_blended_none_split2_s42][INFO] [Epoch 073][TRAIN] loss=0.4401 | train_acc=0.8594 | val_acc=0.8420 | asr=0.0190 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:45][cifar10_blended_none_split2_s42][INFO] [Epoch 074][TRAIN] loss=0.4487 | train_acc=0.8555 | val_acc=0.8427 | asr=0.0227 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:47][cifar10_blended_none_split2_s42][INFO] [Epoch 075][TRAIN] loss=0.4351 | train_acc=0.8620 | val_acc=0.8443 | asr=0.0234 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:49][cifar10_blended_none_split2_s42][INFO] [Epoch 076][TRAIN] loss=0.3995 | train_acc=0.8775 | val_acc=0.8447 | asr=0.0232 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:51][cifar10_blended_none_split2_s42][INFO] [Epoch 077][TRAIN] loss=0.4463 | train_acc=0.8556 | val_acc=0.8456 | asr=0.0244 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:53][cifar10_blended_none_split2_s42][INFO] [Epoch 078][TRAIN] loss=0.3987 | train_acc=0.8754 | val_acc=0.8431 | asr=0.0308 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:55][cifar10_blended_none_split2_s42][INFO] [Epoch 079][TRAIN] loss=0.4235 | train_acc=0.8632 | val_acc=0.8484 | asr=0.0236 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:57][cifar10_blended_none_split2_s42][INFO] [Epoch 080][TRAIN] loss=0.3899 | train_acc=0.8778 | val_acc=0.8426 | asr=0.0323 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:48:59][cifar10_blended_none_split2_s42][INFO] [Epoch 081][TRAIN] loss=0.4099 | train_acc=0.8673 | val_acc=0.8497 | asr=0.0151 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:49:01][cifar10_blended_none_split2_s42][INFO] [Epoch 082][TRAIN] loss=0.3978 | train_acc=0.8757 | val_acc=0.8433 | asr=0.0276 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:49:03][cifar10_blended_none_split2_s42][INFO] [Epoch 083][TRAIN] loss=0.4200 | train_acc=0.8623 | val_acc=0.8483 | asr=0.0266 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:49:05][cifar10_blended_none_split2_s42][INFO] [Epoch 084][TRAIN] loss=0.3966 | train_acc=0.8730 | val_acc=0.8452 | asr=0.0310 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:49:07][cifar10_blended_none_split2_s42][INFO] [Epoch 085][TRAIN] loss=0.3610 | train_acc=0.8897 | val_acc=0.8509 | asr=0.0202 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:49:09][cifar10_blended_none_split2_s42][INFO] [Epoch 086][TRAIN] loss=0.3868 | train_acc=0.8767 | val_acc=0.8499 | asr=0.0213 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:49:11][cifar10_blended_none_split2_s42][INFO] [Epoch 087][TRAIN] loss=0.3596 | train_acc=0.8881 | val_acc=0.8503 | asr=0.0212 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:49:13][cifar10_blended_none_split2_s42][INFO] [Epoch 088][TRAIN] loss=0.3832 | train_acc=0.8785 | val_acc=0.8450 | asr=0.0300 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:49:15][cifar10_blended_none_split2_s42][INFO] [Epoch 089][TRAIN] loss=0.3675 | train_acc=0.8851 | val_acc=0.8490 | asr=0.0272 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:49:17][cifar10_blended_none_split2_s42][INFO] [Epoch 090][TRAIN] loss=0.3840 | train_acc=0.8776 | val_acc=0.8500 | asr=0.0276 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:49:19][cifar10_blended_none_split2_s42][INFO] [Epoch 091][TRAIN] loss=0.3865 | train_acc=0.8748 | val_acc=0.8480 | asr=0.0324 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
