[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Running: cifar10_badnets_none_split2_s42
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:41:32][cifar10_badnets_none_split2_s42][INFO] [Epoch 052][TRAIN] loss=0.2564 | train_acc=0.9104 | val_acc=0.8351 | asr=0.0161 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:34][cifar10_badnets_none_split2_s42][INFO] [Epoch 053][TRAIN] loss=0.2431 | train_acc=0.9126 | val_acc=0.8261 | asr=0.0834 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:36][cifar10_badnets_none_split2_s42][INFO] [Epoch 054][TRAIN] loss=0.2498 | train_acc=0.9120 | val_acc=0.8330 | asr=0.0516 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:38][cifar10_badnets_none_split2_s42][INFO] [Epoch 055][TRAIN] loss=0.2334 | train_acc=0.9173 | val_acc=0.8277 | asr=0.0161 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:40][cifar10_badnets_none_split2_s42][INFO] [Epoch 056][TRAIN] loss=0.2367 | train_acc=0.9168 | val_acc=0.8348 | asr=0.0164 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:42][cifar10_badnets_none_split2_s42][INFO] [Epoch 057][TRAIN] loss=0.2251 | train_acc=0.9217 | val_acc=0.7920 | asr=0.0780 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:44][cifar10_badnets_none_split2_s42][INFO] [Epoch 058][TRAIN] loss=0.2075 | train_acc=0.9255 | val_acc=0.8197 | asr=0.0678 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:46][cifar10_badnets_none_split2_s42][INFO] [Epoch 059][TRAIN] loss=0.2099 | train_acc=0.9258 | val_acc=0.8369 | asr=0.0153 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:48][cifar10_badnets_none_split2_s42][INFO] [Epoch 060][TRAIN] loss=0.1995 | train_acc=0.9287 | val_acc=0.8401 | asr=0.0149 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:50][cifar10_badnets_none_split2_s42][INFO] [Epoch 061][TRAIN] loss=0.1991 | train_acc=0.9298 | val_acc=0.8252 | asr=0.1327 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:52][cifar10_badnets_none_split2_s42][INFO] [Epoch 062][TRAIN] loss=0.1877 | train_acc=0.9327 | val_acc=0.8364 | asr=0.0746 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:54][cifar10_badnets_none_split2_s42][INFO] [Epoch 063][TRAIN] loss=0.1871 | train_acc=0.9328 | val_acc=0.8361 | asr=0.0198 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
